VISTA RIDGE 2C,
NORTHGATE 4A,
NORTHGATE 2C,
NORTHGATE 1B,
NORTHGATE 2A,
PLEASANT VALLEY ESTATES,
ARROWCREEK 31,
THE CREST AT STONEFIELD PHASE 1 UNIT 1,
HILLSIDE CEMETERY,
MILLER ADDITION,
UNIVERSITY ADDITION,
LAKE PARK HEIGHTS,
FIRENZE @ D`ANDREA PHASE 1,
SOUTHWEST VISTAS 6,
PINE TREE RANCH 5,
THE FOOTHILLS AT WINGFIELD VILLAGE 13B,
PEBBLE CREEK 1,
PEBBLE CREEK 3,
PEBBLE CREEK 4,
JUNIPER TERRACE MOBILE HOME ESTATES 5,
DESERT HIGHLANDS 4D,
BROOKSIDE INCLINE 1,
DONNER SPRINGS 2C-3,
STONEFIELD PHASE 3,
AUTUMNWOOD,
DOUBLE DIAMOND RANCH VILLAGE 23,
WILLOWBROOK 2,
SKY VISTA VILLAGE 9A,
LEWIS HOMES SPARKS 12M,
NORTHERN LIGHTS 2,
NORTHERN LIGHTS 4,
DOUBLE DIAMOND RANCH VILLAGE 1C,
COIT HEIGHTS 1,
WEST PLUMB LANE ESTATES 2,
BRIDLE PATH HOMES 5,
THE FOOTHILLS AT WINGFIELD VILLAGE 1,
WINGFIELD SPRINGS 15A,
TIERRA DEL SOL PHASE 2,
SPRING CREEK 2A,
SPRING CREEK 2F,
FIRENZE @ D`ANDREA PHASE 3,
CHIANTI 2,
DOUBLE DIAMOND RANCH VILLAGE 22A,
ROLLING HILLS RANCHOS 5,
ROLLING HILLS RANCHOS 3,
DOUBLE DIAMOND RANCH VILLAGE 16B,
DOUBLE DIAMOND RANCH VILLAGE 17A,
DOUBLE DIAMOND RANCH VILLAGE 16A,
CIMARRON 1,
SOUTHLAND HEIGHTS,
2A @ SOMERSETT,
DOUBLE DIAMOND RANCH VILLAGE 1A,
VILLAGES AT DAMONTE RANCH 17C,
SILVERADO RANCH ESTATES 1B,
SILVERADO RANCH ESTATES 4A,
NORTHGATE 3D,
NORTHGATE 3F,
NORTHGATE 3K,
NORTHGATE 3M,
UNIVERSITY RIDGE 8,
STONE CREEK PHASE 1,
RENO VISTA 1,
EASTRIDGE 1,
SOUTHWEST TERRACE 2,
CHISM ADDITION,
VALLEY VILLAGE 3 & 4,
THE COTTAGES,
NORTH SPRINGS ESTATES WILD HAWK RIDGE PHASE 5,
SIERRA CANYON AT SOMERSETT VILLAGE 4,
SIERRA VISTA TRACT,
WESTERN ADDITION,
VICTORIA PARK TRACT,
DOUBLE DIAMOND RANCH VILLAGE 4 UNIT 1,
KING`S VIEW ESTATES 2,
PYRAMID RANCH ESTATES 4C,
PYRAMID RANCH ESTATES 4D,
WINGFIELD SPRINGS 18,
GALENA FOREST ESTATES 2E PHASE 4,
GALENA FOREST ESTATES 2D,
GALENA FOREST ESTATES 2E PHASE 3,
STONE CANYON PHASE 5,
SKY VISTA VILLAGE 6C,
SKY VISTA VILLAGE 6A,
SKY VISTA VILLAGE 6B,
NORTHGATE 17B,
NORTHGATE 7A,
NORTHGATE 17E,
NORTHGATE 17A,
NORTHGATE 17C,
NORTHGATE 21,
RUSK ESTATES,
CIMARRON 6 PHASE 1,
BALLENTYNE,
MOUNTAIN VIEW,
WINGFIELD SPRINGS 15B,
CIMARRON 5,
WATERFORD PARK 1,
SIERRA HEIGHTS 2A,
WEDGE MEADOWS 4,
WEDGE MEADOWS 5,
ARROWCREEK 11,
ARLINGTON COURT,
MEADOW VIEW TERRACE 1,
NORTH SPRINGS ESTATES PHASE 4,
DAMONTE RANCH VILLAGE 14B,
FALCONCREST 1 PHASE 1,
NORTH SPRINGS ESTATES WILD HAWK RIDGE PHASE 4,
NORTH SPRINGS ESTATES WILD HAWK RIDGE PHASE 2,
HARBOR COVE,
LEWIS HOMES SPARKS 15B,
WILLIAMSBURG TOWNHOMES,
NORTHGATE 18A,
NORTHGATE 12A,
NORTHGATE 8D,
NORTHGATE 18B,
SIERRA HILLS,
SATELLITE HILLS 1,
COIT HEIGHTS 4B,
WILLOW CREEK STATION 8,
NORTHGATE 16G,
STONE CREST PHASE 4,
FIELDCREEK RANCH 6,
VILLAGES AT DAMONTE RANCH 17B,
SURPRISE VALLEY RANCHOS 2 PHASE 1,
GREEN ACRE HEIGHTS,
SPYGLASS ESTATES 1 PHASE 1,
SPYGLASS ESTATES 1 PHASE 2,
EVERGREEN HEIGHTS,
SOUTHWEST TERRACE 1,
COLD SPRINGS VALLEY HOMES 2,
BELSERA,
COLD SPRINGS RANCH 5,
GALENA TERRACE 2,
BENNINGTON COURT,
SILVER SHORES 35,
SILVER TERRACE,
SILVER SHORES 32,
WILLOW CREEK STATION 4,
WILLOW CREEK STATION 7C-1,
WILLOW CREEK STATION 3,
WILLOW CREEK STATION 5,
GLENWOOD ESTATES 1,
SHADOWBROOK NORTH,
PIONEER MEADOWS VILLAGE 2 UNIT 2,
PIONEER MEADOWS VILLAGE 2 UNIT 1,
STREETER 1,
HUFFAKER HILLS 7,
HEPPNER 4,
HEPPNER 3,
HUFFAKER HILLS 6,
SADDLEHORN 3,
DOUBLE DIAMOND RANCH VILLAGE 9,
HUFFAKER HILLS 4,
INCLINE VILLAGE 1,
HIGHLANDS @ CIMARRON PHASE 1,
PATTON-FREDERICK ADDITION 2,
WINDING WOOD,
MOUNTAINGATE PHASE 1,
ARROWCREEK 2,
ARROWCREEK 15,
ARROWCREEK 12A,
ARROWCREEK 25,
ARROWCREEK VILLAGE 1A,
ARROWCREEK 4B,
ARROWCREEK 7,
ARROWCREEK VILLAGE 4 UNIT 1,
ARROWCREEK 3,
SOUTHAMPTON ESTATES 1,
SOUTHAMPTON ESTATES 2,
SILVERADO RANCH ESTATES 1A,
THE FOOTHILLS AT WINGFIELD VILLAGE 6,
CAUGHLIN CREEK 6,
SILVERADA 1,
JUNIPER TRAILS 5,
JUNIPER RIDGE 1,
JUNIPER RIDGE 5,
SKY COUNTRY ESTATES 5,
FIRST TEE 1 AT KILEY RANCH,
ACADEMY MANOR 1,
ACADEMY MANOR 2,
DOUBLE DIAMOND RANCH VILLAGE 12C,
DOUBLE DIAMOND RANCH VILLAGE 12A,
DOUBLE DIAMOND RANCH VILLAGE 12B,
SUNRISE VILLAS,
SHADOW GLEN ESTATES 1,
4F @ SOMERSETT,
NEW WASHOE CITY 3,
CURTI RANCH 2 UNIT 5,
AUTUMN RIDGE PHASE 1 @ SOMERSETT,
STERLING VILLAGE 2,
UNIVERSITY HEIGHTS,
UNIVERSITY PARK,
NORTHGATE 19,
VILLAGES AT DAMONTE RANCH 15B,
STONE CANYON PHASE 11,
ROBISON`S ADDITON,
SOUTHWEST VISTAS 4C,
HIDDEN SPRINGS 2,
DOUBLE DIAMOND RANCH VILLAGE 28B,
FRONTIER ESTATES,
WINGFIELD SPRINGS 17A,
HEPPNER 1,
LIGHTNING `W` RANCH RANCH UNIT,
BELLEVUE ESTATES 1,
BELLEVUE ESTATES 2,
LATHROP RANCH ESTATES 1,
BELLEVUE ESTATES 3,
COMSTOCK ESTATES 2,
SKY VISTA VILLAGE 12,
WASHOE RANCHES 5,
WASHOE RANCHES 2,
TOSCANA @ D`ANDREA 4A,
TOSCANA @ D`ANDREA 5,
PLEASANT VALLEY RANCHOS 3,
KNOX LANDING,
SKY RANCH NORTH 1,
SURPRISE VALLEY RANCHOS PHASE 3A,
SURPRISE VALLEY 3B,
SURPRISE VALLEY RANCHOS PHASE 2B,
CIMARRON 8,
WINGFIELD SPRINGS 13D PHASE 1,
NORTHGATE 1A,
NORTHGATE 1C,
STONE CANYON PHASE 9,
WOODLAND VILLAGE PHASE 12,
NORTHGATE 16C,
WINGFIELD SPRINGS 19B PHASE 1,
SIERRA HEIGHTS 4,
BACKER TRUST PROPERTY 1,
SIERRA GARDENS MOBILE HOMES,
HIGHLANDS @ CIMARRON PHASE 2,
FALCONCREST 1 PHASE 2,
CIMARRON 8 PHASE 2,
BLUE HERON PARK 1,
VALLEY ROAD DEVELOPMENT,
NORTHGATE 3H,
COUNTRY CLUB ACRES,
STONE CREST PHASE 7,
UNIT 4A @ SOMERSETT,
SIERRA CANYON AT SOMERSETT VILLAGE 1,
SKYLINE CREST 1,
ALBION,
WILKINSON 1,
STEAMBOAT SPRINGS ESTATES 1,
EDGEWATER 3,
SKY COUNTRY ESTATES 1,
EASTLAND HILLS 1A,
WINGFIELD SPRINGS 14,
COLD SPRINGS VALLEY HOMES 3,
COLD SPRINGS VALLEY HOMES 1,
HEPPNER 2,
DOUBLE DIAMOND RANCH VILLAGE 28A,
SILVER SHORES 2,
SILVER SHORES 4,
GOLDEN HIGHLANDS PHASE 1,
GOLDEN HIGHLANDS PHASE 6,
GOLDEN HIGHLANDS PHASE 5,
GOLDEN HIGHLANDS PHASE 2,
GOLDEN HIGHLANDS PHASE 4,
GOLDEN HIGHLANDS PHASE 7,
NORTH SPRINGS ESTATES PHASE 2,
TALUS POINT CONDOMINIUMS,
CORONET 2,
CORONET 3,
COMSTOCK ESTATES 3,
MOANA PARK HOME SITES,
BAKER LANE APARTMENTS,
SOUTHVIEW,
WINGFIELD SPRINGS 19B PHASE 2,
SKY VISTA VILLAGE 10B PHASE 2,
WILLOW CREEK WEST 2B,
WILLOW CREEK WEST 1,
VILLAGES AT DAMONTE RANCH 20A,
JUNIPER TERRACE MOBILE HOME ESTATES 6B,
WILDCREEK ESTATES 2,
CANYON HILLS 1B,
CANYON PINES PHASE 1,
DAMONTE RANCH VILLAGE 14A,
VILLAGES AT DAMONTE RANCH 15A,
LAKERIDGE 2,
KILEY RANCH WEST PHASE 3A UNITS 5 & 7,
CRYSTAL LAKE 1A,
THE VILLAGES 3,
HIDDEN CANYON 1,
HIDDEN CANYON 2,
PYRAMID PARK 2,
TYROLIAN VILLAGE 3,
TYROLIAN VILLAGE 1,
SUN VALLEY 5,
WINGFIELD SPRINGS 13B,
WOODLAND VILLAGE PHASE 3,
KILEY RANCH 4 PHASE 2C,
KILEY RANCH 5 PHASE 2C,
SPANISH SPRINGS VILLAGE 7,
DESERT HIGHLAND 4C,
DESERT HIGHLANDS 4E,
AREA 2 PHASE 1 @ SOMERSETT,
SHADOW GLEN ESTATES 3,
WESTGATE,
INCLINE VILLAGE 1A,
DOUBLE DIAMOND RANCH VILLAGE 29A,
SILVERADA NORTH 2,
JUNIPER HEIGHTS 1,
BRUCE 4,
RULISON SURVEY,
ST GEORGE ADDITION,
POWNING ADDITION,
SILVER KNOLLS RANCH ESTATES 5,
BELLI ADDITION,
LAKERIDGE 4,
SHADOW GLEN ESTATES 2,
PRIESS RANCH PHASE 1,
HUFFAKER VILLAGE 1,
HUFFAKER HILLS 1,
HUFFAKER HILLS 5,
HUFFAKER HILLS 2,
ECCLES RANCH ESTATES 1,
TOSCANA @ D`ANDREA 1,
TOSCANA @ D`ANDREA 2A,
WILDCREEK ESTATES 3,
WINGFIELD SPRINGS 20 PHASE 2,
WINGFIELD SPRINGS 20 PHASE 3,
WINGFIELD SPRINGS 20 PHASE 1,
CIMARRON 12 PHASE 1,
WOODLAND VILLAGE PHASE 10,
GRANDVIEW MANOR 5,
DOUBLE DIAMOND RANCH VILLAGE 30,
SADDLEHORN SOUTH PHASE 1,
BACKER TRUST PROPERTY 2,
SUNCREST 3A,
SUNCREST 2B,
SUNCREST 2A,
SUNCREST 3B,
THE VILLAS AT SKY VISTA PHASE 1,
THE VILLAS AT SKY VISTA PHASE 2,
VILLAGES AT DAMONTE RANCH 13A,
BERRUM PARK,
PATTON,
SAN MARINO @ D`ANDREA PHASE 2,
SIERRA VISTA VILLAS OF RENO 1,
SIERRA VISTA VILLAS OF RENO 2,
RENO PARK ESTATES 2B-9,
SECURITY PLACE,
THE ESTATES AT MOUNT ROSE PHASE 1,
UPPER HIGHLANDS AT CIMARRON EAST PHASE 1,
VISTA RIDGE 4,
BROOKDALE PARK,
JUNIPER TERRACE MOBILE HOME ESTATES 1,
COUNTRY ESTATES 4,
NORTHGATE 2F,
EAGLE CANYON 3 UNIT 4A,
EAGLE CANYON 3 UNIT 4B,
ALAMEDA HEIGHTS,
HILLCREST,
CAUGHLIN CREEK 1,
EASTLAND HILLS 4A,
LAKESIDE PLAZA 1,
WOODLAND VILLAGE PHASE 9,
ALUM CREEK PATIO HOMES 2,
SAN MARINO @ D`ANDREA PHASE 1,
SIERRA HEIGHTS 2B,
RENO PARK MOBILE HOME ESTATES 2A,
CANYON HILLS 2,
GALENA TERRACE 3,
GALENA TERRACE 4,
SAPPHIRE RIDGE PHASE 3,
MANZANITA WEST 11,
SUNCREST 1,
OVERLOOK 1B,
DOUBLE DIAMOND RANCH VILLAGE 15,
TYROLIAN VILLAGE 4,
SPRING CREEK 2C,
SPRING CREEK 2D,
SPRING CREEK 2H,
SPRING CREEK 2G,
SPRING CREEK 2E,
SLEEPY HOLLOW,
JONADA HEIGHTS ADDITION,
TRIPLE CROWN 5,
TRIPLE CROWN 4,
EDGEWATER 6,
RENO VISTA,
RENO HIGHLAND,
VILLAGES AT DAMONTE RANCH 16B,
VILLAGES AT DAMONTE RANCH 16A,
SILVER SHORES 9,
SILVER SHORES 22,
SILVER SHORES 17,
PEAVINE VIEW ESTATES 4,
UNIT 4B-4E @ SOMERSETT,
EL RANCHO BUENA VISTA 1,
DONNER SPRINGS 3B,
PEAVINE MEADOW ESTATES 1,
TRUCKEE CANYON ESTATES,
MOGUL HIGHLANDS 3A,
MOGUL HIGHLANDS 3D,
SPRING VALLEY ESTATES 4,
HORIZON HILLS 2,
WINGFIELD SPRINGS 24D,
WINGFIELD SPRINGS 24B,
NORTHGATE 11D,
DOUBLE DIAMOND RANCH VILLAGE 18,
MANZANITA WEST 7,
MANZANITA WEST 10,
VISTA HEIGHTS SOUTH PHASE 2,
WINGFIELD SPRINGS 17B,
FIRST TEE 6 AT KILEY RANCH,
HUFFAKER HILLS 3,
WATERFORD PARK 2,
MORGAN,
UNIVERSITY TERRACE ADDITION,
SOUTH HILLS ESTATES 1,
SOUTHERN COMFORT 1,
DOUBLE DIAMOND RANCH VILLAGE 2C,
DOUBLE DIAMOND RANCH VILLAGE 2B,
KILEY WEST 4A PHASE 2,
SOUTHWEST ESTATES 2,
ROUNDHOUSE VILLAGE,
MAYBERRY MEADOWS 4B,
SIMON 2,
MAYBERRY MEADOWS 2,
MAYBERRY MEADOWS 1,
STONE CANYON PHASE 2,
RIDGEWAY @ SOMERSETT,
DOUBLE DIAMOND RANCH VILLAGE 4 UNIT 2,
KILEY RANCH WEST PHASE 3A UNIT 2,
SIERRA HEIGHTS 3D,
SIERRA HEIGHTS 3B,
ALUM CREEK PATIO HOMES 3,
SKY VISTA VILLAGE 10A PHASE 1,
RENO HIGHLAND 2 UNIT 2,
MORTON 2,
SOUTHSIDE,
MORTON 3,
WOODSIDE 2A,
AMPHITHEATER 2,
SIDEHILL MOBILE HOME ESTATES,
SKY VISTA VILLAGE 8C,
SIERRA SAGE ESTATES 2,
NORTHGATE 3E,
NORTHGATE 3B,
BRUNETTI 1,
BRUNETTI 2,
NORTH EXTENSION OF BARNARD ADDITION,
MANZANITA WEST 8,
NEW WASHOE CITY 5,
EVERGREEN 4,
EVERGREEN 2,
EVERGREEN 3,
EL RANCHO BUENA VISTA 2,
RENO FOOTHILLS 1,
MONGOLO,
BROOKS 2,
FIELDCREEK RANCH 9,
GREGORY PARK,
FIELDCREEK RANCH 8,
DONNER SPRINGS MOBILE HOMES,
WINGFIELD SPRINGS 5,
PANORAMA VILLAGE,
PEAVINE HEIGHTS 2,
CANYON HILLS 1,
LEWIS HOMES SPARKS 12A,
WOODLAND VILLAGE PHASE 8,
SIERRA LOMA 3,
NORTHWEST TERRACE,
MEADOWVIEW PHASE 2,
NORTHWEST VILLAS 2,
STONE CREST PHASE 6,
MEADOWVALE 3,
MEADOWVALE 4,
MEADOWVALE 11,
EAGLE CANYON 2 UNIT 1A,
WILDCREEK GOLF VILLAS PHASE 3,
WILDCREEK GOLF VILLAS PHASE 2,
STONE CREEK PHASE 10,
BREAKER,
BREIMON ACRES,
WILLOW CREEK WEST 2A,
NEVADA VISTA,
CRYSTAL VIEW CONDOMINIUMS,
NEVADA VISTA ADDITION,
HEMPSTEAD GARDENS,
READ,
SPANISH SPRINGS 2,
DOUBLE DIAMOND RANCH VILLAGE 25,
GALENA CANYON 2B,
LONKEY`S  ADDITION TO VERDI,
VERDI LAKE ESTATES,
VERDI,
KEELE,
TOWN & COUNTY ESTATES,
FERRIS,
WEST RENO HEIGHTS,
WILLIAMS,
RIO VISTA HEIGHTS,
MARSH`S ADDITION,
NEWLANDS TERRACE,
RIVERSIDE HEIGHTS,
MARKER TRACT,
NEWLANDS HEIGHTS,
LAKE`S ADDITION,
PANGI RANCH 1,
CENTURY GLEN 4,
ALUM CREEK PATIO HOMES,
VINTAGE HILLS 1,
VINTAGE HILLS 2,
VINTAGE HILLS 3,
SKY VISTA VILLAGE 10B PHASE 1,
SKY VISTA VILLAGE 10B PHASE 3,
SKY VISTA VILLAGE 10A PHASE 2,
BRISTLE CONE CONDOMINIUMS,
HERITAGE ON THE GREEN 3,
STERLING RANCH 1,
LEWIS HOMES SPARKS 10,
LEWIS HOMES SPARKS 8,
WILLOW CREEK STATION 6,
CAUGHLIN COTTAGES 2,
LAKERIDGE SPRINGS 6,
HIDDEN VALLEY 1,
SURREY PLACE 1,
CLARIDGE POINTE NORTH,
EVANS CREEK ESTATES 1,
EVANS CREEK ESTATES 2,
LEWIS HOMES SPARKS 12E,
CANYON VISTA NORTH,
SEDONA VILLAGE 2,
MOGUL HIGHLANDS 1,
CANYON VISTA SOUTH,
HIDDEN VALLEY HIGHLANDS 1,
VISTA HEIGHTS SOUTH PHASE 1,
THOMAS CREEK ESTATES 3D,
SIERRA HEIGHTS 5A,
NORTHRIDGE HILLS,
CHURCH HILL ESTATES,
SOUTHWEST VISTAS 1,
SIERRA MEADOWS 5A,
SIERRA MEADOWS 5B,
SIERRA WOODS ESTATES,
BRIDLE PATH HOMES 4,
PECETTI RANCH ESTATES,
JUNIPER TRAILS 4,
MONTREUX 4 SOUTH,
MONTREUX 7B,
MONTREUX 10,
MONTREUX UNIT 9,
MONTREUX 1,
BOWMAR,
GALENA TERRACE 1,
TENAYA CREEK,
ELMCREST HEIGHTS 5,
VANTAGE POINT 2,
VANTAGE POINT 3,
VANTAGE POINT 1,
LANCER ESTATES 8,
VILLAS AT LAKERIDGE 2,
NORTHGATE 5A,
NEW WASHOE CITY 1,
GOLDEN VALLEY RANCHOS 1,
CHATEAU ACRES 1,
SOUTH HILLS ESTATES 3 HODGE ADDITION,
WINGFIELD SPRINGS 26A,
LEWIS HOMES SPARKS 12F,
NEWLANDS MANOR,
MANOR GARDENS,
ARLINGTON HEIGHTS SUBURBAN HOME TRACTS,
SHERMAN PARK ESTATES,
SILVERADA 2,
SIERRA HIGHLANDS 8B,
O`SULLIVAN ADDITION,
LINCOLN PARK ADDITION,
SIERRA CANYON AT SOMERSETT VILLAGE 5,
BRIDLE PATH HOMES 1,
BRIDLE PATH HOMES 2,
CAUGHLIN RIDGES 1,
POINT VIEW,
FAULSTICH,
NIXON FARM,
BRINKBY,
WARREN,
NOTTINGHAM,
AREA 3 PHASE 1 @ SOMERSETT,
REDFIELD ESTATES,
LAUREL PARK 1,
GALENA TERRACE ESTATES 1,
OLD GALENA TOWNSITE,
CROSS CREEK,
THE ESTATES AT MOUNT ROSE PHASE 2,
THE ESTATES AT MOUNT ROSE PHASE 3A,
CIMARRON 4,
CIMARRON 3,
NORTHGATE 16E,
SOUTHERN COMFORT 2,
SUNNY ACRES 1,
GEORGIA ESTATES,
SUNNY ACRES 2,
WEST RIDGE ESTATES 1,
SUNNY SLOPE 2,
DOUBLE DIAMOND RANCH VILLAGE 14A,
NORTHGATE 5E,
CAMELOT ESTATES 4,
CAMELOT ESTATES 3,
CAMELOT ESTATES 2,
CAMELOT ESTATES 1,
DONNER SPRINGS 2C-2,
ETCHEBERRY ADDITION,
MANOR HEATH,
HANCOCK,
WILD STALLION ESTATES PHASE 3,
PARK VERDE,
CIMARRON 10,
RIVER VIEW ESTATES,
RALEIGH HEIGHTS 1,
ROBERT`S 4A,
PEBBLE CREEK 2,
CASTLE RIDGE 3,
WOODLAND VILLAGE PHASE 2,
DOUBLE DIAMOND RANCH VILLAGE 5A,
WINGFIELD SPRINGS 11,
VILLAGES AT DAMONTE RANCH 11A,
DESERT HIGHLANDS 4A,
SKYLINE HEIGHTS 3,
CAPURRO,
DONNER SPRINGS 2C-1,
SPARKS VILLAGE GREEN 2,
SPARKS VILLAGE GREEN 1,
DOUBLE DIAMOND RANCH VILLAGE 6D,
WILLOW CREEK STATION 11B,
SIERRA HIGHLANDS 8A,
SADDLEHORN 7,
TOSCANA @ D`ANDREA 7A,
FIELDCREEK RANCH 3,
PEAVINE VIEW ESTATES 9,
EAGLE CANYON 2 UNIT 4,
NORTHGATE 14B,
NORTHGATE 14C,
SUNRISE AT KILEY RANCH,
3F @ SOMERSETT,
GREYHAVEN,
SILVER KNOLLS RANCH ESTATES 3,
SKY RIDGE 2,
DOUBLE DIAMOND RANCH VILLAGE 7,
DOUBLE DIAMOND RANCH VILLAGE 8B,
DONNER SPRINGS 2A,
SPRING VISTA,
DOUBLE DIAMOND RANCH VILLAGE 29C,
MOGUL HIGHLANDS 2A,
GLEESON WAY,
BLEST 2,
OLD WASHOE ESTATES,
BARING SQUARE,
RENO PARK ESTATES 2B-6,
SUNSET HILLS 1,
NEW WASHOE CITY 2,
NEW WASHOE CITY 4,
MEYER MEADOWS 1,
KILEY WEST PHASE 1,
JUNIPER HILLS,
VILLAGES AT DAMONTE RANCH 13B,
VILLAGES AT DAMONTE RANCH 13C,
MANZANITA WEST 4,
SILVERADO RANCH ESTATES 3 PHASE 1,
EDGEWATER 1,
EDGEWATER 4,
SHERMAN 1,
FOREST HILLS,
ROLLING HILLS HIGHLANDS 1,
MARKRIDGE 2,
ROSS PARK ESTATES,
BURKE`S ADDITION,
MCCORMICK ADDITION,
TERRACE TRACT,
